CNPJ_CIA,DATA_INI,TICKER
02.062.747/0001-08,10/11/1997,OPSE3B
01.957.772/0001-89,03/09/1997,OPTS3B
29.978.814/0001-87,03/10/2007,SULA11
29.978.814/0001-87,03/10/2007,SULA3
29.978.814/0001-87,03/10/2007,SULA4
29.978.814/0001-87,03/10/2007,SULA11
29.978.814/0001-87,03/10/2007,SULA3
29.978.814/0001-87,03/10/2007,SULA4
60.651.809/0001-05,11/03/1982,NEMO3
60.651.809/0001-05,11/03/1982,NEMO5
60.651.809/0001-05,11/03/1982,NEMO6
16.404.287/0001-55,15/04/1992,SUZB3
08.801.621/0001-86,01/08/2007,SYNE3
08.801.621/0001-86,01/08/2007,SYNE3
02.860.694/0001-62,15/01/2009,SHOW3
02.860.694/0001-62,11/04/2011,SHOW3
92.781.335/0001-02,02/03/1982,TASA3
92.781.335/0001-02,02/03/1982,TASA4
92.781.335/0001-02,02/03/1982,TASA3
92.781.335/0001-02,02/03/1982,TASA4
26.345.998/0001-50,26/07/2021,TRAD3
09.295.063/0001-97,28/06/2011,TECN3
08.065.557/0001-12,09/01/2007,TCSA3
08.065.557/0001-12,09/01/2007,TCSA3
33.111.246/0001-90,14/10/2019,TCNO3
33.111.246/0001-90,14/10/2019,TCNO4
02.351.144/0001-18,28/06/2007,TGMA3
82.636.986/0001-55,04/12/1969,TEKA3
82.636.986/0001-55,04/12/1969,TEKA4
33.467.572/0001-34,20/07/1977,TKNO3
33.467.572/0001-34,20/07/1977,TKNO4
00.336.701/0001-04,21/01/1981,TELB3
00.336.701/0001-04,21/01/1981,TELB4
02.558.157/0001-62,19/08/1998,VIVT3
02.664.042/0001-52,17/01/2000,MNZC3B
40.337.136/0001-06,14/07/2021,LAND3
82.982.075/0001-80,11/08/1969,TXRX3
82.982.075/0001-80,11/08/1969,TXRX4
02.421.421/0001-11,17/03/2020,TIMS3
53.113.791/0001-22,07/03/2006,TOTS3
03.014.553/0001-91,05/12/2002,TPIS3
59.418.806/0001-47,22/10/2020,TFCO4
07.859.971/0001-30,06/09/2006,TAEE11
07.859.971/0001-30,06/09/2006,TAEE3
07.859.971/0001-30,06/09/2006,TAEE4
07.859.971/0001-30,06/09/2006,TAEE11
07.859.971/0001-30,06/09/2006,TAEE3
07.859.971/0001-30,06/09/2006,TAEE4
94.813.102/0001-70,21/06/2021,TTEN3
92.660.570/0001-26,15/12/1980,LUXM3
92.660.570/0001-26,15/12/1980,LUXM4
08.811.643/0001-27,10/10/2007,TRIS3
08.811.643/0001-27,10/10/2007,TRIS3
15.115.504/0001-24,23/12/1970,CRPG3
15.115.504/0001-24,23/12/1970,CRPG5
15.115.504/0001-24,23/12/1970,CRPG6
84.683.374/0001-49,01/07/1966,TUPY3
33.256.439/0001-39,27/09/1999,UGPA3
90.441.460/0001-48,25/04/2012,UCAS3
02.255.187/0001-08,23/07/2021,FIQE3
33.958.695/0001-78,08/12/1971,UNIP3
33.958.695/0001-78,08/12/1971,UNIP5
33.958.695/0001-78,08/12/1971,UNIP6
33.958.695/0001-78,08/12/1971,UNIP3
33.958.695/0001-78,08/12/1971,UNIP5
33.958.695/0001-78,08/12/1971,UNIP6
02.162.616/0001-94,19/11/1997,UPKP3B
60.894.730/0001-05,11/04/1994,USIM3
60.894.730/0001-05,11/04/1994,USIM5
60.894.730/0001-05,11/04/1994,USIM6
60.894.730/0001-05,11/04/1994,USIM3
60.894.730/0001-05,11/04/1994,USIM5
60.894.730/0001-05,11/04/1994,USIM6
33.592.510/0001-54,02/01/1970,VALE3
33.592.510/0001-54,02/01/1970,VALE3
33.113.309/0001-47,12/04/2006,VLID3
23.373.000/0001-32,30/04/2019,VAMO3
33.041.260/0652-90,24/11/1981,VIIA3
33.041.260/0652-90,24/11/1981,VIIA3
34.274.233/0001-02,05/02/2003,VBBR3
34.274.233/0001-02,12/12/2017,VBBR3
34.274.233/0001-02,12/12/2017,VBBR3
45.365.558/0001-09,28/04/2021,VITT3
33.839.910/0001-11,08/10/2019,VIVA3
67.571.414/0001-41,23/05/2007,VIVR3
50.926.955/0001-42,20/07/1977,VULC3
84.429.695/0001-11,09/02/1982,WEGE3
14.776.142/0001-50,09/02/2021,WEST3
84.683.671/0001-94,09/10/1984,MWET3
84.683.671/0001-94,09/10/1984,MWET4
59.105.999/0001-86,22/04/1994,WHRL3
59.105.999/0001-86,22/04/1994,WHRL4
42.278.473/0001-03,11/05/2015,WIZS3
33.228.024/0001-51,07/01/1971,WLMM3
33.228.024/0001-51,07/01/1971,WLMM4
33.228.024/0001-51,07/01/1971,WLMM4
33.228.024/0001-51,07/01/1971,WLMM4
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
08.807.432/0001-10,26/07/2007,YDUQ3
