Razão Social,codigo
VINCI VIFI 2 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,VLIQ11
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII,VOTS11
VX XVI - FDO INV. IMOB.,VXXV11
WARREN VECTIS SECURITIES FDO DE INV IMOB - FII,WVSC11
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,WHGR11
XP CORPORATE MACAÉ FDO INV IMOB - FII,XPCM11
XP CREDITO IMOBILIÁRIO - FDO INV IMOB,XPCI11
XP HOTÉIS - FDO INV IMOB - FII,XPHT11
XP INDUSTRIAL FDO INV IMOB - FII,XPIN11
XP LOG FDO INV IMOB - FII,XPLG11
XP MALLS FDO INV IMOB FII,XPML11
XP PROPERTIES FDO. INV. IMOB.,XPPR11
XP SELECTION FDO DE FUNDOS INV IMOB - FII,XPSF11
YUCA FDO INV. IMOB.,YUFI11
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,ZIFI11
